class_id	label_name	tax_id
497	Lactobacillus acetotolerans	1600
498	Lactobacillus agilis	1601
499	Lactobacillus alimentarius	1602
500	Lactobacillus amylophilus	1603
501	Lactobacillus amylovorus	1604
502	Lactobacillus animalis	1605
503	Lactobacillus aviarius	1606
504	Lactobacillus bifermentans	1607
505	Lactobacillus coryniformis	1610
506	Lactobacillus farciminis	1612
507	Lactobacillus fermentum	1613
508	Lactobacillus fructivorans	1614
509	Weissella kandleri	1616
510	Lactobacillus mali	1618
511	Weissella minor	1620
512	Lactobacillus murinus	1622
513	Lactobacillus ruminis	1623
514	Lactobacillus salivarius	1624
515	Lactobacillus sanfranciscensis	1625
516	Weissella viridescens	1629
517	Kandleria vitulina	1630
518	Fructobacillus fructosus	1631
519	Lactobacillus oris	1632
520	Lactobacillus vaginalis	1633
521	Listeria monocytogenes	1639
522	Listeria grayi	1641
523	Listeria innocua	1642
524	Listeria welshimeri	1643
525	Renibacterium salmoninarum	1646
526	Erysipelothrix rhusiopathiae	1648
527	Kurthia zopfii	1650
528	Alloiococcus otitis	1652
529	Actinomyces naeslundii	1655
530	Actinomyces viscosus	1656
531	Actinobaculum suis	1657
532	Actinomyces israelii	1659
533	Schaalia odontolytica	1660
534	Trueperella pyogenes	1661
535	Arthrobacter globiformis	1665
536	Arthrobacter citreus	1670
537	Bifidobacterium adolescentis	1680
538	Bifidobacterium bifidum	1681
539	Bifidobacterium asteroides	1684
540	Bifidobacterium breve	1685
541	Bifidobacterium catenulatum	1686
542	Bifidobacterium coryneforme	1687
543	Bifidobacterium cuniculi	1688
544	Bifidobacterium dentium	1689
545	Bifidobacterium indicum	1691
546	Bifidobacterium magnum	1692
547	Bifidobacterium minimum	1693
548	Bifidobacterium pseudolongum	1694
549	Corynebacterium ammoniagenes	1697
550	Brevibacterium epidermidis	1698
551	Brevibacterium linens	1703
552	Corynebacterium stationis	1705
553	Cellulomonas fimi	1708
554	Cellulomonas biazotea	1709
555	Cellulosimicrobium cellulans	1710
556	Cellulomonas flavigena	1711
557	Oerskovia turbata	1713
558	Cellulomonas uda	1714
559	Corynebacterium diphtheriae	1717
560	Corynebacterium glutamicum	1718
561	Corynebacterium pseudotuberculosis	1719
562	Corynebacterium renale	1724
563	Corynebacterium xerosis	1725
564	Corynebacterium variabile	1727
565	Eubacterium oxidoreducens	1732
566	Holdemanella biformis	1735
567	Eubacterium limosum	1736
568	Thermodesulfobacterium commune	1741
569	Propionibacterium freudenreichii	1744
570	Cutibacterium acnes	1747
571	Acidipropionibacterium acidipropionici	1748
572	Acidipropionibacterium jensenii	1749
573	Pseudopropionibacterium propionicum	1750
574	Mycobacterium avium	1764
575	Mycolicibacterium fortuitum	1766
576	Mycobacterium intracellulare	1767
577	Mycobacterium kansasii	1768
578	Mycolicibacterium phlei	1771
579	Mycobacterium tuberculosis	1773
580	Mycobacteroides chelonae	1774
581	Mycobacterium gordonae	1778
582	Mycobacterium malmoense	1780
583	Mycobacterium scrofulaceum	1783
584	Mycobacterium szulgai	1787
585	Mycobacterium xenopi	1789
586	Mycolicibacterium neoaurum	1795
587	Mycolicibacterium thermoresistibile	1797
588	Mycolicibacterium chubuense	1800
589	Mycolicibacterium obuense	1807
590	Nocardia otitidiscaviarum	1823
591	Nocardia asteroides	1824
592	Rhodococcus fascians	1828
593	Rhodococcus rhodochrous	1829
594	Rhodococcus ruber	1830
595	Rhodococcus erythropolis	1833
596	Saccharopolyspora hirsuta	1837
597	Saccharopolyspora hordei	1838
598	Nocardioides albus	1841
599	Pseudonocardia thermophila	1848
600	Saccharomonospora viridis	1852
601	Geodermatophilus obscurus	1861
602	Dermatophilus congolensis	1863
603	Actinoplanes missouriensis	1866
604	Actinoplanes digitatis	1868
605	Actinoplanes utahensis	1869
606	Streptomyces albus	1888
607	Streptomyces anulatus	1892
608	Kitasatospora aureofaciens	1894
609	Streptomyces avidinii	1895
610	Streptomyces bikiniensis	1896
611	Streptomyces coelicolor	1902
612	Streptomyces exfoliatus	1905
613	Streptomyces fradiae	1906
614	Streptomyces globisporus	1908
615	Streptomyces griseus	1911
616	Streptomyces lavendulae	1914
617	Streptomyces microflavus	1919
618	Streptomyces phaeochromogenes	1923
619	Streptomyces rimosus	1927
620	Streptomyces scabiei	1930
621	Streptomyces sclerotialus	1957
622	Streptomyces olivochromogenes	1963
623	Streptomyces kanamyceticus	1967
624	Streptomyces chartreusis	1969
625	Actinomadura echinospora	1992
626	Actinomadura madurae	1993
627	Microtetraspora glauca	1996
628	Streptosporangium roseum	2001
629	Streptosporangium amethystogenes	2002
630	Thermobispora bispora	2006
631	Nocardiopsis dassonvillei	2014
632	Streptoalloteichus hindustanus	2017
633	Thermobifida fusca	2021
634	Thermoactinomyces intermedius	2024
635	Thermoactinomyces vulgaris	2026
636	Kibdelosporangium aridum	2030
637	Microbacterium testaceum	2033
638	Aeromicrobium erythreum	2041
639	Pimelobacter simplex	2045
640	Rothia dentocariosa	2047
641	Mobiluncus curtisii	2051
642	Mobiluncus mulieris	2052
643	Gordonia bronchialis	2054
644	Gordonia terrae	2055
645	Sphaerobacter thermophilus	2057
646	Tsukamurella paurometabola	2061
647	Pseudonocardia autotrophica	2074
648	Sporolactobacillus inulinus	2078
649	Mycoplasma arginini	2094
650	Mycoplasma gallisepticum	2096
651	Mycoplasma genitalium	2097
652	Mycoplasma hominis	2098
653	Mycoplasma hyopneumoniae	2099
654	Mycoplasma hyorhinis	2100
655	Mycoplasma mycoides	2102
656	Mycoplasma pneumoniae	2104
657	Mycoplasma pulmonis	2107
658	Mycoplasma synoviae	2109
659	Mycoplasma agalactiae	2110
660	Mycoplasma arthritidis	2111
661	Mycoplasma bovigenitalium	2112
662	Mycoplasma lipophilum	2117
663	Mycoplasma orale	2121
664	Mycoplasma putrefaciens	2123
665	Mycoplasma salivarium	2124
666	Mycoplasma flocculare	2128
667	Ureaplasma urealyticum	2130
668	Spiroplasma mirum	2144
669	Acholeplasma laidlawii	2148
670	Acholeplasma modicum	2150
671	Mesoplasma florum	2151
672	Desulfobacter hydrogenophilus	2291
673	Desulfobacter latus	2292
674	Desulfobacter postgatei	2293
675	Thermoanaerobacter kivui	2325
676	Thermotoga maritima	2336
677	Xylella fastidiosa	2371
678	Sporomusa paucivorans	2376
679	Sporomusa ovata	2378
680	Teredinibacter turnerae	2426
681	Roseobacter denitrificans	2434
682	Heliobacterium gestii	2699
683	Gardnerella vaginalis	2702
684	Cardiobacterium hominis	2718
685	Symbiobacterium thermophilum	2734
686	Vagococcus fluvialis	2738
687	Vagococcus salmoninarum	2739
688	Peptococcus niger	2741
689	Marinobacter hydrocarbonoclasticus	2743
690	Halomonas elongata	2746
691	Carnobacterium divergens	2748
692	Carnobacterium maltaromaticum	2751
693	Synergistes jonesii	2754
694	Brochothrix thermosphacta	2756
695	Brochothrix campestris	2757
696	Globicatella sanguinis	13076
697	Brevundimonas bullata	13160
698	Rarobacter faecitabidus	13243
699	Suttonella indologenes	13276
700	Burkholderia mallei	13373
701	Rhizorhapis suberifaciens	13656
702	Sphingomonas paucimobilis	13689
703	Sphingobium yanoikuyae	13690
704	Thiocystis violacea	13725
705	Bifidobacterium animalis	28025
706	Bifidobacterium pseudocatenulatum	28026
707	Lysinibacillus fusiformis	28031
708	Sulfobacillus thermosulfidooxidans	28034
709	Streptococcus mitis	28037
710	Lactobacillus curvatus	28038
711	Saccharopolyspora rectivirgula	28042
712	Lachnospira multipara	28051
713	Heliobacillus mobilis	28064
714	Rhodoferax fermentans	28066
715	Rubrivivax gelatinosus	28068
716	Nitrospirillum amazonense	28077
717	Campylobacter upsaliensis	28080
718	Legionella anisa	28082
719	Legionella wadsworthii	28088
720	Acinetobacter lwoffii	28090
721	Neisseria weaveri	28091
722	Burkholderia gladioli	28095
723	Agrobacterium rubi	28099
724	Alteromonas macleodii	28108
725	Francisella philomiragia	28110
726	Bacteroides eggerthii	28111
727	Tannerella forsythia	28112
728	Porphyromonas macacae	28115
729	Bacteroides ovatus	28116
730	Alistipes putredinis	28117
731	Odoribacter splanchnicus	28118
732	Fibrobacter intestinalis	28122
733	Porphyromonas asaccharolytica	28123
734	Porphyromonas endodontalis	28124
735	Prevotella bivia	28125
736	Prevotella buccae	28126
737	Prevotella buccalis	28127
738	Prevotella corporis	28128
739	Prevotella denticola	28129
740	Prevotella disiens	28130
741	Prevotella intermedia	28131
742	Prevotella melaninogenica	28132
743	Prevotella nigrescens	28133
744	Prevotella oralis	28134
745	Prevotella oris	28135
746	Prevotella oulorum	28136
747	Prevotella veroralis	28137
748	Rikenella microfusus	28139
749	Cronobacter sakazakii	28141
750	Yersinia kristensenii	28152
751	Bisgaard Taxon 14	28156
752	Vibrio nigripulchritudo	28173
753	Capnocytophaga canimorsus	28188
754	Capnocytophaga cynodegmi	28189
755	Thermonema lapsum	28195
756	Arcobacter butzleri	28197
757	Sphingomonas adhaesiva	28212
758	Sphingomonas parapaucimobilis	28213
759	Sphingomonas sp.	28214
760	Mycoplasma penetrans	28227
761	Colwellia psychrerythraea	28229
762	Ornithobacterium rhinotracheale	28251
763	Marinomonas communis	28254
764	Cobetia marina	28258
765	Thermodesulfovibrio yellowstonii	28262
766	Arcanobacterium haemolyticum	28264
767	Anaerotignum propionicum	28446
768	Clavibacter michiganensis	28447
769	Komagataeibacter xylinus	28448
770	Burkholderia pseudomallei	28450
771	Sphingobacterium multivorum	28454
772	Hydrogenovibrio marinus	28885
773	Campylobacter helveticus	28898
774	Salmonella enterica	28901
775	Mycoplasma bovis	28903
776	Nocardioides plantarum	29299
777	Streptomyces griseoluteus	29306
778	Actinomyces sp.	29317
779	Corynebacterium otitidis	29321
780	Domibacillus aminovorans	29332
781	[Clostridium] scindens	29347
782	[Clostridium] spiroforme	29348
783	[Clostridium] thermoalcaliphilum	29349
784	[Clostridium] celerecrescens	29354
785	Ruminiclostridium cellobioparum	29355
786	Clostridium paraputrificum	29363
787	Clostridium puniceum	29367
788	Clostridium sardiniense	29369
789	[Clostridium] sphenoides	29370
790	Clostridium thermobutyricum	29372
791	Filifactor villosus	29374
792	[Clostridium] xylanolyticum	29375
793	Desulfofundulus thermobenzoicus	29376
794	Staphylococcus saprophyticus	29385
795	Streptococcus alactolyticus	29389
796	Gemella morbillorum	29391
797	Dolosigranulum pigrum	29394
798	Helicobacter canis	29419
799	Legionella brunensis	29422
800	Legionella oakridgensis	29423
801	Methylorubrum rhodinum	29428
802	Acinetobacter haemolyticus	29430
803	Psychrobacter phenylpyruvicus	29432
804	Pseudomonas flavescens	29435
805	Paucimonas lemoignei	29443
806	Xanthomonas albilineans	29447
807	Bradyrhizobium elkanii	29448
808	Rhizobium etli	29449
809	Brucella melitensis	29459
810	Brucella suis	29461
811	Veillonella parvula	29466
812	Yersinia rohdei	29485
813	Yersinia ruckeri	29486
814	Photorhabdus luminescens	29488
815	Vibrio navarrensis	29495
816	Vibrio splendidus	29497
817	Porphyromonas circumdentaria	29524
818	Chitinophaga arvensicola	29529
819	Flavobacterium pectinovorum	29533
820	Flavobacterium saccharophilum	29534
821	Flavobacterium succinicans	29536
822	Thermoleophilum album	29539
823	Pelobacter acetylenicus	29542
824	Rhodothermus marinus	29549
825	Acholeplasma axanthum	29552
826	Mycoplasma bovirhinis	29553
827	Mycoplasma gallinarum	29557
828	Mycoplasma meleagridis	29561
829	Halomonas subglaciescola	29571
830	Taylorella equigenitalis	29575
831	Caldicellulosiruptor bescii	31899
832	Halovibrio variabilis	31910
833	Brevibacterium iodinum	31943
834	Amycolatopsis orientalis	31958
835	Absiella dolichum	31971
836	Eggerthia catenaformis	31973
837	Methylobacterium radiotolerans	31998
838	Achromobacter denitrificans	32002
839	Comamonas terrigena	32013
